"titulo","resumen","enlace","fecha","imagen","autor"
"Introducing llamafile","We're thrilled to announce the first release of llamafile, inviting the open source community to join this groundbreaking project. With llamafile, you can effortlessly convert large language model (LLM) weights into executables. Imagine transforming a 4GB file of LLM weights into a binary that runs smoothly on six different operating systems, without requiring installation.","https://hacks.mozilla.org/2023/11/introducing-llamafile/","November 29, 2023","https://hacks.mozilla.org/wp-content/uploads/2024/10/cropped-stephen-hood-headshot-72x72.png","Stephen Hood"
"Mozilla AI Guide Launch with Summarization Code Example","Mozilla has just launched the AI Guide, a collaborative hub for developers to join forces, inspire each other, and lead the way in groundbreaking generative AI advancements. The AI Guide’s initial focus begins with language models and the aim is to become a collaborative community-driven resource covering other types of models.","https://hacks.mozilla.org/2023/11/mozilla-ai-guide-launch-with-summarization-code-example/","November 16, 2023","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"Down and to the Right: Firefox Got Faster for Real Users in 2023","To deliver against our vision and enable a better online experience for everyone, we’ve been working hard on making Firefox even faster. We’re extremely happy to report that this has resulted in a significant improvement in speed over the past year.","https://hacks.mozilla.org/2023/10/down-and-to-the-right-firefox-got-faster-for-real-users-in-2023/","October 31, 2023","https://secure.gravatar.com/avatar/4e1eac71203d85974b94be13ce5ba794?s=72&d=mm&r=g","Bas Schouten"
"Built for Privacy: Partnering to Deploy Oblivious HTTP and Prio in Firefox","Protecting user privacy is a core element of Mozilla’s vision for the web and the internet at large. In pursuit of this vision, we’re pleased to announce new partnerships with Fastly and Divvi Up to deploy privacy-preserving technology in Firefox.","https://hacks.mozilla.org/2023/10/built-for-privacy-partnering-to-deploy-oblivious-http-and-prio-in-firefox/","October 12, 2023","https://hacks.mozilla.org/wp-content/uploads/2021/12/bholley-sketch-72x72.png","Bobby Holley"
"Faster Vue.js Execution in Firefox","Firefox performance on Vue.js has improved significantly throughout the year. Most recently, we sped up reactivity with Proxy optimizations. This change landed in Firefox 118, so it’s currently on Beta and will ride along to Release by the end of September.","https://hacks.mozilla.org/2023/09/faster-vue-js-execution-in-firefox/","September 5, 2023","https://secure.gravatar.com/avatar/5e699d95460c943a64c4ce3e96ff24fe?s=72&d=mm&r=g","Brian Grinstead"
"Autogenerating Rust-JS bindings with UniFFI","This blog post will walk through how we developed UniFFI: a Rust library for auto-generating foreign language bindings. We will walk through some of the issues that arose along the way and how we handled them.","https://hacks.mozilla.org/2023/08/autogenerating-rust-js-bindings-with-uniffi/","August 8, 2023","https://secure.gravatar.com/avatar/2cbb1b8b2e36037911dd0b0c2f1144a5?s=72&d=mm&r=g","Ben Dean-Kawamura"
"So you want to build your own open source ChatGPT-style chatbot…","Artificial intelligence may well prove one of the most impactful and disruptive technologies to come along in years. We want to understand, support, and contribute to these efforts because we believe that they offer one of the best ways to help ensure that the AI systems that emerge are truly trustworthy. With this in mind, a small team within Mozilla’s innovation group recently undertook a hackathon at our headquarters in San Francisco. Our objective: build a Mozilla internal chatbot prototype.","https://hacks.mozilla.org/2023/07/so-you-want-to-build-your-own-open-source-chatbot/","July 27, 2023","https://hacks.mozilla.org/wp-content/uploads/2024/10/cropped-stephen-hood-headshot-72x72.png","Stephen Hood"
"Letting users block injected third-party DLLs in Firefox","In Firefox 110, users now have the ability to control which third-party DLLs are allowed to load into Firefox processes. Let’s talk about what this means and when it might be useful.","https://hacks.mozilla.org/2023/03/letting-users-block-injected-third-party-dlls-in-firefox/","March 30, 2023","https://secure.gravatar.com/avatar/5c69d5ea204f37775f4564c418633beb?s=72&d=mm&r=g","Greg Stoll"
"Mozilla Launches Responsible AI Challenge","We want entrepreneurs and builders to join us in creating a future where AI is developed through this responsible lens. That’s why we are relaunching our Mozilla Builders program with the Responsible AI Challenge.","https://hacks.mozilla.org/2023/03/mozilla-launches-responsible-ai-challenge/","March 14, 2023","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"Announcing Interop 2023","Interop 2022 showed significant improvements in the interoperability of multiple platform features, along with several cross-browser investigations that looked into complex, under-specified, areas of the platform where interoperability has been difficult to achieve. Building on this, we're pleased to announce Interop 2023, the next iteration of the Interop project.","https://hacks.mozilla.org/2023/02/announcing-interop-2023/","February 1, 2023","https://hacks.mozilla.org/wp-content/uploads/2020/11/ravengfairy006-72x72.jpg","James Graham"
"Interop 2022: Outcomes","Last March we announced the Interop 2022 project, a collaboration between Apple, Bocoup, Google, Igalia, Microsoft, and Mozilla to improve the quality and consistency of their implementations of the web platform. Now that it's 2023 and we're deep into preparations for the next iteration of Interop, it's a good time to reflect on how the first year of Interop has gone.","https://hacks.mozilla.org/2023/01/interop-2022-outcomes/","January 31, 2023","https://hacks.mozilla.org/wp-content/uploads/2020/11/ravengfairy006-72x72.jpg","James Graham"
"How the Mozilla Community helps shape our products","A product is first an idea, then a project, and then a prototype. Here, at Mozilla, our awesome community is there every step of the way to support and contribute to our products. None of what we do would be possible without this multicultural, multilingual community of like-minded people working together to be a better internet.","https://hacks.mozilla.org/2022/12/how-the-mozilla-community-helps-to-shape-our-products/","December 7, 2022","https://secure.gravatar.com/avatar/b2ef730f3c02d660107fc3b57e48a5b9?s=72&d=mm&r=g","Francesca Minelli"
"Improving Firefox stability with this one weird trick","We break down how we reduced Firefox out-of-memory crashes on Windows with a simple trick. Poorly behaving web pages and apps are no longer capable of crashing the browser by exhausting memory.","https://hacks.mozilla.org/2022/11/improving-firefox-stability-with-this-one-weird-trick/","November 22, 2022","https://secure.gravatar.com/avatar/03fda82227c39197ab49cd9cef4e3e89?s=72&d=mm&r=g","Gabriele Svelto"
"Revamp of MDN Web Docs Contribution Docs","The MDN Web Docs team recently undertook a project to revamp and reorganize the “Contribution Docs”. These are all the pages on MDN that describe what's what – the templates and page structures, how to perform a task on MDN, how to contribute to MDN, and the community guidelines to follow while contributing to this massive open source project.","https://hacks.mozilla.org/2022/10/revamp-of-mdn-web-docs-contribution-docs/","October 31, 2022","https://secure.gravatar.com/avatar/c8e8d4b382256a3dfe0584091781946d?s=72&d=mm&r=g","Dipika Bhattacharya"
"Improving Firefox responsiveness on macOS","If you're running Firefox on macOS you might have noticed that its responsiveness has improved significantly in version 103, especially if you've got a lot of tabs, or when your machine is busy running other applications at the same time. This improvement was achieved via a small change in how locking is implemented within Firefox's memory allocator.","https://hacks.mozilla.org/2022/10/improving-firefox-responsiveness-on-macos/","October 10, 2022","https://secure.gravatar.com/avatar/03fda82227c39197ab49cd9cef4e3e89?s=72&d=mm&r=g","Gabriele Svelto"
"The 100% Markdown Expedition","In June 2021, we decided to start converting the source code for MDN web docs from HTML into a format that would be easier for us to work with. The goal was to get 100% of our manually-written documentation converted to Markdown, and we really had a mountain of source code to climb for this particular expedition. In this post, we’ll describe why we decided to migrate to Markdown, and the steps you can take that will help us on our mission.","https://hacks.mozilla.org/2022/09/the-100-percent-markdown-expedition/","September 8, 2022","https://secure.gravatar.com/avatar/3f0e9b6231df27e285c4589d21c4ae46?s=72&d=mm&r=g","Schalk Neethling"
"Merging two GitHub repositories without losing commit history","How do you merge two Git repositories without losing history? This post will take you through the step-by-step process.","https://hacks.mozilla.org/2022/08/merging-two-github-repositories-without-losing-commit-history/","August 29, 2022","https://secure.gravatar.com/avatar/3f0e9b6231df27e285c4589d21c4ae46?s=72&d=mm&r=g","Schalk Neethling"
"Neural Machine Translation Engine for Firefox Translations add-on","Firefox Translations is a website translation add-on that provides an automated translation of web content. In this article, we will discuss the technical challenges around the development of the translation engine and how we solved them to build a usable Firefox Translations add-on.","https://hacks.mozilla.org/2022/06/neural-machine-translation-engine-for-firefox-translations-add-on/","June 29, 2022","https://secure.gravatar.com/avatar/?s=72&d=mm&r=g","Autor no disponible"
"The JavaScript Specification has a New License","As part of our work to ensure a free and open web, we've been working together with Ecma International, and many partners to write a License inspired by the W3C Document and Software License. Our goal was that JavaScript’s status would align with other specifications of the Web. In addition, with this new license available to all TCs at Ecma International, this will provide other organizations to approach standardization with the same perspective.","https://hacks.mozilla.org/2022/06/the-specification-for-javascript-has-a-new-license/","June 27, 2022","https://secure.gravatar.com/avatar/e52fe6c5041ca6969c11d931664c7dfd?s=72&d=mm&r=g","Yulia Startsev"
"Fuzzing rust-minidump for Embarrassment and Crashes – Part 2","For the last year, we've been working on the development of rust-minidump, a pure-Rust replacement for the minidump-processing half of google-breakpad. The final part in this series takes you through fuzzing rust-minidump.","https://hacks.mozilla.org/2022/06/fuzzing-rust-minidump-for-embarrassment-and-crashes/","June 23, 2022","https://secure.gravatar.com/avatar/1039b5879e177382b62995025c567a59?s=72&d=mm&r=g","Aria Beingessner"
"Hacks Decoded: Bikes and Boomboxes with Samuel Aboagye","Samuel Aboagye is a genius. Aboagye is 17 years old. In those 17 years, he’s crafted more inventions than you have, probably. Among them: a solar-powered bike and a Bluetooth speaker, both using recycled materials. We caught up with Aboagye over video chat in hopes that he’d talk with us about his creations, and ultimately how he’s way cooler than any of us at 17.","https://hacks.mozilla.org/2022/06/hacks-decoded-bikes-and-boomboxes-with-samuel-aboagye/","June 16, 2022","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"Everything Is Broken: Shipping rust-minidump at Mozilla – Part 1","For the last year, we've been working on the development of rust-minidump, a pure-Rust replacement for the minidump-processing half of google-breakpad. The first in this two-part series explains what minidumps are, and how we made rust-minidump.","https://hacks.mozilla.org/2022/06/everything-is-broken-shipping-rust-minidump-at-mozilla/","June 14, 2022","https://secure.gravatar.com/avatar/1039b5879e177382b62995025c567a59?s=72&d=mm&r=g","Aria Beingessner"
"Training efficient neural network models for Firefox Translations","The Bergamot project is a collaboration between Mozilla, University of Edinburgh, Charles University in Prague, the University of Sheffield, and University of Tartu with funding from the European Union’s Horizon 2020 research and innovation programme. It brings MT to the local environment, providing small, high-quality, CPU optimized NMT models. The Firefox Translations web extension utilizes proceedings of project Bergamot and brings local translations to Firefox. In this article, we will discuss the components used to train our efficient NMT models.","https://hacks.mozilla.org/2022/06/training-efficient-neural-network-models-for-firefox-translations/","June 7, 2022","https://secure.gravatar.com/avatar/66197b1a2b0ef180ae3097c5b02736c8?s=72&d=mm&r=g","Evgeny Pavlov"
"Improved Process Isolation in Firefox 100","Firefox uses a multi-process model for additional security and stability while browsing: Web Content (such as HTML/CSS and Javascript) is rendered in separate processes that are isolated from the rest of the operating system and managed by a privileged parent process. This way, the amount of control gained by an attacker that exploits a bug in a content process is limited. In this article, we would like to dive a bit further into the latest major milestone we have reached: Win32k Lockdown, which greatly reduces the capabilities of the content process when running on Windows.","https://hacks.mozilla.org/2022/05/improved-process-isolation-in-firefox-100/","May 12, 2022","https://secure.gravatar.com/avatar/6ad7e6f8a605ca81446ea4c83d819fb2?s=72&d=mm&r=g","Gian-Carlo Pascutto"
"Common Voice dataset tops 20,000 hours","The latest Common Voice dataset, released today, has achieved a major milestone: More than 20,000 hours of open-source speech data that anyone, anywhere can use. The dataset has nearly doubled in the past year. Mozilla’s Common Voice seeks to change the language technology ecosystem by supporting communities to collect voice data for the creation of voice-enabled applications for their own languages.","https://hacks.mozilla.org/2022/04/common-voice-dataset-tops-20000-hours/","April 28, 2022","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"MDN Plus now available in more regions","Almost a month ago, we announced MDN Plus, a new premium service on MDN that allows users to customize their experience on the website. We are very glad to announce today that it is now possible for MDN users around the globe to create an MDN Plus free account, no matter where they are.","https://hacks.mozilla.org/2022/04/mdn-plus-now-available-in-more-markets/","April 28, 2022","https://secure.gravatar.com/avatar/7ddf5d0424fe2fe70e31d6ef817ebeae?s=72&d=mm&r=g","Hermina"
"Adopting users’ design feedback","On March 1st, 2022, MDN Web Docs released a new design and a new brand identity. Overall, the community responded to the redesign enthusiastically and we received many positive messages and kudos. We also received valuable feedback on some of the things we didn’t get quite right, like the browser compatibility table changes as well as some accessibility and readability issues.","https://hacks.mozilla.org/2022/04/adopting-users-design-feedback/","April 21, 2022","https://secure.gravatar.com/avatar/7ddf5d0424fe2fe70e31d6ef817ebeae?s=72&d=mm&r=g","Hermina"
"Mozilla partners with the Center for Humane Technology","We’re pleased to announce that we have partnered with Center for Humane Tech, a nonprofit organization that radically reimagines the digital infrastructure. Its mission is to drive a comprehensive shift toward humane technology that supports the collective well-being, democracy and shared information environment.","https://hacks.mozilla.org/2022/04/mozilla-partners-with-the-center-for-humane-technology/","April 13, 2022","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"Performance Tool in Firefox DevTools Reloaded","In Firefox 98, we’re shipping a new version of the existing Performance panel. This panel is now based on the Firefox profiler tool that can be used to capture a performance profile for a web page, inspect visualized performance data and analyze it to identify slow areas.","https://hacks.mozilla.org/2022/03/performance-tool-in-firefox-devtools-reloaded/","March 30, 2022","https://secure.gravatar.com/avatar/a7fbd2cc78ba5e80afa63fd52e943eb9?s=72&d=mm&r=g","Jan Honza Odvarko"
"Introducing MDN Plus: Make MDN your own","MDN is one of the most trusted resources for information about web standards, code samples, tools, and everything you need as a developer to create websites. Today, we are launching MDN Plus, our first step to providing a personalized and more powerful experience while continuing to invest in our always free and open webdocs.","https://hacks.mozilla.org/2022/03/introducing-mdn-plus-make-mdn-your-own/","March 24, 2022","https://secure.gravatar.com/avatar/7ddf5d0424fe2fe70e31d6ef817ebeae?s=72&d=mm&r=g","Hermina"
"Mozilla and Open Web Docs working together on MDN","For both MDN and Open Web Docs (OWD), transparency is paramount to our missions. With the upcoming launch of MDN Plus, we believe it’s a good time to talk about how our two organizations work together, and if there is a financial relationship between us. Here is an overview of how our missions overlap and how they differ, and how a premium subscription service fits all this.","https://hacks.mozilla.org/2022/03/mozilla-and-open-web-docs-working-together-on-mdn/","March 17, 2022","https://secure.gravatar.com/avatar/7ddf5d0424fe2fe70e31d6ef817ebeae?s=72&d=mm&r=g","Hermina"
"Announcing Interop 2022","Writing high quality standards is a necessary first step to an interoperable web platform, but ensuring that browsers are consistent in their behavior requires an ongoing process. Browsers must work to ensure that they have a shared understanding of web standards, and that their implementation matches that understanding. Interop 2022 is a cross-browser initiative to find and address the most important interoperability pain points on the web platform. The end result is a public metric that will assess progress toward fixing these interoperability issues.","https://hacks.mozilla.org/2022/03/interop-2022/","March 3, 2022","https://secure.gravatar.com/avatar/09bb44ac3625a121017cd98d0a7dc52c?s=72&d=mm&r=g","Anne van Kesteren"
"A new year, a new MDN","If you’ve accessed the MDN website today, you probably noticed that it looks quite different. We hope it’s a good different. Let us explain! In mid-2021 we started to think about modernizing MDN’s design, to create a clean and inviting website that makes navigating our 44,000 articles as easy as possible. We wanted to create a more holistic experience for our users, with an emphasis on improved navigability and a universal look and feel across all our pages. ","https://hacks.mozilla.org/2022/03/a-new-year-a-new-mdn/","March 1, 2022","https://secure.gravatar.com/avatar/7ddf5d0424fe2fe70e31d6ef817ebeae?s=72&d=mm&r=g","Hermina"
"Version 100 in Chrome and Firefox","Chrome and Firefox will reach version 100 in a couple of months. This has the potential to cause breakage on sites that rely on identifying the browser version to perform business logic.  This post covers the timeline of events, the strategies that Chrome and Firefox are taking to mitigate the impact, and how you can help.","https://hacks.mozilla.org/2022/02/version-100-in-chrome-and-firefox/","February 15, 2022","https://hacks.mozilla.org/wp-content/uploads/2022/02/karl-dubost-72x72.jpg","Karl Dubost"
"Improving the Storage Access API in Firefox","Before we roll out State Partitioning for all Firefox users, we intend to make a few privacy and ergonomic improvements to the Storage Access API. In this blog post, we’ll detail a few of the new changes we made.","https://hacks.mozilla.org/2022/02/improving-the-storage-access-api-in-firefox/","February 8, 2022","https://secure.gravatar.com/avatar/903832f17a97919b41873befa924b21d?s=72&d=mm&r=g","Benjamin VanderSloot"
"Retrospective and Technical Details on the recent Firefox Outage","On January 13th 2022, Firefox became unusable for close to two hours for users worldwide. This incident interrupted many people’s workflow. This post highlights the complex series of events and circumstances that, together, triggered a bug deep in the networking code of Firefox.","https://hacks.mozilla.org/2022/02/retrospective-and-technical-details-on-the-recent-firefox-outage/","February 2, 2022","https://hacks.mozilla.org/wp-content/uploads/2024/06/cropped-export2-small-square-72x72.jpg","Christian Holler"
"Hacks Decoded: Adewale Adetona","Adetona Adewale Akeem, more popularly known as iSlimfit, is a Nigeria-born revered digital technologist and marketing expert. He is the co-founder of Menopays, a fintech startup offering another Buy Now Pay Later (BNPL) option across Africa. We chatted with him about founding Menopays and the impact of tech solutions developed in Nigeria.","https://hacks.mozilla.org/2022/01/hacks-decoded-adewale-adetona/","January 31, 2022","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"Contributing to MDN: Meet the Contributors","If you’ve ever built anything with web technologies, you’re probably familiar with MDN Web Docs. With about 13,000 pages documenting how to use programming languages such as HTML, CSS and JavaScript, the site has about 8,000 people using it at any given moment. MDN relies on contributors to help maintain its ever-expanding and up to date documentation. We reached out to 4 long-time community contributors to talk about how and why they started contributing, why they kept going, and ask what advice they have for new contributors.","https://hacks.mozilla.org/2022/01/contributing-to-mdn-meet-the-contributors/","January 18, 2022","https://secure.gravatar.com/avatar/b2ef730f3c02d660107fc3b57e48a5b9?s=72&d=mm&r=g","Francesca Minelli"
"Hacks Decoded: Sara Soueidan, Award-Winning UI Design Engineer and Author","Sara Soueidan is an independent Web UI and design engineer, author, speaker, and trainer from Lebanon. Currently, she’s working on a new course, ""Practical Accessibility,"" meant to teach devs and designers ways to make their products accessible. We chatted with Sara about front-end web development, the importance of design and her appreciation of birds.","https://hacks.mozilla.org/2021/12/hacks-decoded-sara-soueidan-award-winning-ui-design-engineer-and-author/","December 30, 2021","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"WebAssembly and Back Again: Fine-Grained Sandboxing in Firefox 95","In Firefox 95, we're shipping a novel sandboxing technology called RLBox — developed in collaboration with researchers at the University of California San Diego and the University of Texas — that makes it easy and efficient to isolate subcomponents to make the browser more secure. This technology opens up new opportunities beyond what's been possible with traditional process-based sandboxing, and we look forward to expanding its usage and (hopefully) seeing it adopted in other browsers and software projects.","https://hacks.mozilla.org/2021/12/webassembly-and-back-again-fine-grained-sandboxing-in-firefox-95/","December 6, 2021","https://hacks.mozilla.org/wp-content/uploads/2021/12/bholley-sketch-72x72.png","Bobby Holley"
"Hacks Decoded: Seyi Akiwowo, Founder of Glitch","Seyi Akiwowo’s reputation precedes her. Akiwowo is the founder of Glitch, an organization that seeks to end online abuse. We spoke with Seyi over video chat to learn about what drives her, why she does what she does and what she’d be doing if not battling trolls online for a living.","https://hacks.mozilla.org/2021/11/hacks-decoded-seyi-akiwowo-founder-of-glitch/","November 30, 2021","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
"Hacks Decoded: Thomas Park, Founder of Codepip","Welcome to our Hacks: Decoded Interview series! We spoke with Thomas Park over email about coding, his favourite apps and his past life at Mozilla. Thomas is the founder of Codepip, a platform he created for coding games that helps people learn HTML, CSS, JavaScript, etc. The most popular game is Flexbox Froggy.","https://hacks.mozilla.org/2021/10/hacks-decoded-thomas-park-founder-of-codepip/","October 20, 2021","https://hacks.mozilla.org/wp-content/uploads/2017/04/dbrown@mozilla.com_avatar_1492021420-72x72.jpg","Dan Brown"
